"from","to","Correlation","p_value","fdr"
"exposome_genus_Clavaria","nHILIC_243.0621_3.4",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nHILIC_327.2328_1",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nHILIC_111.0199_3.4",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nHILIC_177.0226_3.6",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nHILIC_481.244_5.2",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nHILIC_274.1407_13.3",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nHILIC_168.0778_10.2",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nHILIC_85.0294_7.6",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nHILIC_361.1254_3.3",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","pRPLC_162.1123_0.6",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","pRPLC_100.0756_1.2",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","pRPLC_267.1228_8.3",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","pRPLC_580.4347_11.8",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_514.2838_9.6",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_473.3632_11.4",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_407.2438_8.8",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_389.2699_8.8",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_297.2435_10.2",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_498.2892_10.3",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_293.2123_9.6",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_163.0765_7.4",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_495.2235_6.2",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Clavaria","nRPLC_209.0814_5.3",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Clostridium","nHILIC_581.2411_5.9",1,0.0166666666666667,1.77815125038364
