Date,Calories,Steps,Sleep Duration,Sleep Score,Number of Interruptions,Number of Toss and Turns,Interruption Duration,Resting Heart Rate,Bike Calories,Bike Duration,Run Calories,Run Duration,Run Steps,Walk Calories,Walk Duration,Walk Steps
2015-09-02,1399.4,5093,499,91,3,48,9,57,,,,,,251.3,31,3094
2015-09-03,2621.1,9049,215,31,1,12,1,75,,,,,,454.8,56,5755
2015-09-04,3601,13122,139,18,0,3,0,63,,,,,,780.4,91,9072
2015-09-05,3537.7,16254,578,75,5,40,8,65,74,13,,,,521.9,71,6407
2015-09-06,4977.4,34424,632,43,3,63,19,66,,,609.7,46,7680,1227.3,174,15046
2015-09-07,2911.4,17666,447,88,3,25,18,63,,,523.4,39,6461,632.6,92,7987
2015-09-08,2161.2,5343,272,45,0,26,0,60,,,,,,238.3,29,2895
2015-09-09,2845,14556,311,52,1,37,3,55,,,,,,860.4,104,10940
2015-09-10,3478.2,10473,333,58,0,17,0,67,,,,,,226.7,26,2753
2015-09-11,2495.3,7808,308,57,0,20,0,60,,,,,,256.4,30,3200
2015-09-12,2023.3,3765,513,89,4,54,24,60,,,,,,146.3,19,1771
2015-09-13,4523.2,24773,475,93,2,36,16,56,,,460.4,35,5666,1031.9,129,13075
2015-09-14,1871.9,4099,385,81,2,26,5,60,,,,,,168.3,23,2103
2015-09-15,2778.4,11636,288,50,1,19,5,71,,,,,,644.3,77,7929
2015-09-16,2773.2,12850,439,91,2,27,8,60,,,,,,1054.3,133,13407
2015-09-17,4019.1,23121,241,39,0,17,0,69,,,,,,1424.4,157,14488
2015-09-18,3262.8,20886,520,93,2,34,3,71,,,,,,1087.6,143,13610
2015-09-19,3374.5,15519,394,82,2,35,12,66,282.3,39,,,,855.6,121,10737
2015-09-20,2837.3,14266,498,94,1,22,5,76,84.1,16,525.3,39,6360,326.8,43,4028
2015-09-21,2522.2,9015,421,94,1,27,6,62,185.4,32,,,,445.2,60,5698
2015-09-22,2370.7,6210,,,,,,67,76.1,11,,,,272.4,33,3377
2015-09-23,1937.6,5711,304,54,1,22,1,72,146.9,23,,,,224.3,27,2656
2015-09-24,2364.3,6805,502,98,0,23,0,58,243.7,39,,,,154.8,19,1897
2015-09-25,2394.5,6983,459,85,1,25,11,65,192.2,28,,,,271.1,37,3479
2015-09-26,2597.3,7955,403,83,1,19,6,69,,,,,,399.6,47,4752
