,chaoexpo22_I12,chaoexpo51_I6,chaoexpo56_I5,chaoexpo44_I15,chaoexpo28_I15,chaoexpo74_I6,chaoexpo56_I12,chaoexpo70_I6,chaoexpo62_I6,chaoexpo75_I12
Sphingomonadaceae,577.784633729996,0,0,3.39349412523308,105.613395250505,0,4.63381423445261,0,0.40172665556932,0
Felidae,12.0289441589839,0,16.5934684714221,76.8553792255238,22.1077402675436,119.908357918297,74.2582632258911,0,0,0
Lentinaceae,237.09742598953,896.433503967134,439.662742728764,618.918599203351,261.199932321466,693.368442981008,487.621238432519,0.252043831078407,34.3559992488816,18.3585092659055
Hypocreaceae,35.112236681566,7.93772357378285,0.305166568682356,92.4286695245001,178.89597931563,107.952378002567,12.2303586050857,50187.1714885492,0,0
Nelumbonaceae,18.5341845446737,0.13926589123833,0,0,0,0,22.1063760197931,0,0,1.96823919170296
Peptoniphilaceae,0,4.99727978395295,0,15.5493664166794,0,0,0,8.45378916631768,79.0338609700525,0
Phaeosphaeriaceae,229.18782209042,0,0,2634.66934790821,20.1177684340161,31.6777193707039,23.721041321298,0,0.362107628981429,0.215519363346975
Fomitopsidaceae,15.6169848021103,229.548018983329,45.5982438716426,67.9421439443449,38.1913796957012,67.3162461135112,227.625802598482,0,3.64865523797067,0
Phytoseiidae,0,0,0,0,0,0,0,0,0,0
Myoviridae,0,0,0,9.24796914026197,0,0,0,0,0.450935789613717,0
Diaporthaceae,663.412799785926,152.758354375084,0,410.518560397194,0,15.7670853096497,17.3890931849952,0,70.8603790361325,1.20903039165544
Strophariaceae,38.1642847501728,388.493221448873,151.706830808642,449.368307222489,2.17324663110946,110.067887615256,24.7223827990885,1.93795558802079,0,0
Fabaceae,26.2552585264104,90.0106454744378,0,0,32.7230079847484,0,90.9072155515448,0,0,0
Pedaliaceae,0,0,0,0,0,0,0,0,0,0
Dermateaceae,24.123124263776,8.28885920485269,54.9602907395551,71.2397828263488,0.170814216489232,141.767830244498,543.544308302916,10.0347352969998,0,0
Planococcaceae,178.311247363729,65.4555693408061,1.55762194210833,239.778297800793,3.79750804085766,79.1421824916847,19.0587656522649,11029.9866235128,127.323952654562,1062.7768033694
Crepidotaceae,6.84538107453463,114.82918574485,104.626644646231,100.738774595162,31.6302136639575,3.28201413664878,18.3642685806375,0,0,0
Lactobacillaceae,0.639661236203886,0.0799869774834788,0,301.610949149799,0,67.4311596654836,0,1.89165365695901,13.1004175130984,0
Sporidiobolaceae,106.399780424197,107.522677146365,89.7773172776363,9.17829979725665,0,0,0.634755551220906,3.13901163986788,0,5.08280658788
Diopsidae,1.04952619315526,0,0,0.22542158147778,0,0,29.0804849003142,0,0,0
Clavicipitaceae,31.7849256396943,2.87066752041603,0.27841451582686,12.7443327626388,0,0.531413012728175,183.944393177445,0,5.0330109041027,0
Moraceae,0,0,0,0,0.414450609868907,0,0,0,0,0
Lyophyllaceae,137.16456410693,648.827988449013,404.68198563256,1991.21665952605,974.475089808913,443.568813679012,1319.11305399928,0,0,0
Sepsidae,0,0,0,0,0,0,0,0,0,0
Melanommataceae,68.3674629641745,55.5763303116332,0,0.980015519954674,0,163.549979507871,137.33304693044,0,0,3977.52954084811
Erysipelotrichaceae,0,89.6193356500534,0,0.172404549787584,0,0,0,2.02717959063396,13.7475459322938,0
Sympoventuriaceae,84.1831953029843,0,19.7597595311315,3.79899072946681,2.69464277011159,0.560276846459805,52.2668014991091,0,313.964555425068,0
Burkholderiaceae,89.8365237864866,4.6853690124687,0,0.24182826847321,0.420948902502663,0,0,0,0,0
Oxytrichidae,164.680633310581,0,0,8.16440554536995,0,0,6.41656949365272,0,0,8.08414079062137
Listeriaceae,0,0,0,0,0,0,0,0,0,0
Comamonadaceae,0.0547043079127248,0,0,0.618351899624751,1.15619603481274,0,0,2.02820563773663,0,0
Physalacriaceae,3.35580590535975,179.749705853444,46.8258656058497,101.816442210276,0,66.0347808517447,61.5999769269545,5.52420984419625,0,0
Peptococcaceae,18.1090390953792,0.379602356926762,0,0.682865246725319,0.739839794747824,0,0,7.94838257887293,0,12.2044814878957
Rhizopodaceae,0,0,0,0,41.1805570305749,0,0,0,0,0
Meruliaceae,215.738978060442,1082.96464143686,772.577410931157,510.126932641883,72.6407166023474,358.332167301491,2500.80140152079,0.268889009835169,35.9021198505174,80.8776334097769
Chaetomiaceae,54.8475265149024,33.5020495981664,16.5827665995475,6.28879784300082,0,1182.75865734711,4.22242379029694,0,1.51312705049676,0
Veillonellaceae,16.6802532243232,0,0,16.4987561638185,0,0,0,1139.66867847834,1.93403751113363,0
Tulasnellaceae,34.4268618064287,1160.53314330881,1969.52755409352,1593.44144067446,19.3833226279474,442.396003497712,154.651544889713,0.957937165165872,0,0
Sporolactobacillaceae,95.9362404291931,3.44302525882819,0,0,0,0,0,1.65199008564833,0,0
Streptomycetaceae,10.4468133607831,0.926689493801319,9.59410078293668,8.57154576984078,0,0,0,0,0,10.6371137154582
Myxobolidae,0,0,0,0,0,0,0,0,0,0
Aerococcaceae,5.64792514998897,0,0,27.0456400059404,0,4.0969094646637,0.642814151499986,8.51933297315063,0,0.0944662173560065
