,xinexpo22_I12,xinexpo51_I6,xinexpo56_I5,xinexpo44_I15,xinexpo28_I15,xinexpo74_I6,xinexpo56_I12,xinexpo70_I6,xinexpo62_I6,xinexpo75_I12
Bdellovibrionaceae,859.525018802392,35.0139581105874,0.543869489831921,364.358718226962,249.184653898114,0,0.106396056538123,0,358.643954290971,0
Shewanellaceae,54.2943529007228,12.7090413635938,162.154648499326,0,30.764037012471,0,0,0,22.8060961976892,0
Rivulariaceae,0,105.149654024961,0,71.6766646213098,0,567.849720313869,0,0,332.348459209612,0
Hydnodontaceae,21.3835975168448,549.685844425435,396.226232512198,282.869786486125,25.4205758655174,2948.08757529666,569.694990842776,0,61.9663750501502,0.687725794363444
Pseudoalteromonadaceae,3.17606027303446,27.2013793745177,4.9360715119499,205.10044152898,120.202792549974,3.58392834889229,200.538804408624,50.9362758262331,14.9765926856203,3.32607694990364
Lentinaceae,130.429859400542,1798.5207326459,1313.83346093573,762.762842847157,542.799153396238,279.156003714879,897.891665780688,0,0,0
Isosphaeraceae,559.546989712381,0,0,172.811578061673,42.4581107496131,404.668684433585,58.0812582850936,0.19165042180275,5.82851453163275,0
Myrtaceae,1025.46733767429,120.596689677754,50.8356708038838,40.0693936754785,9.81474598724894,19.5194951509396,0,32773.4055604037,0,0
Marchantiaceae,196.803700109741,73.5192889657381,10.1168053620438,582.929652882489,243.386894796341,498.049939688572,776.760237178618,0,0,29.0395327927432
Rhodospirillaceae,118.705173166407,45.925871587136,40.1544392985693,238.858335456,53.6908946190284,194.603824757048,0,848.473977788226,195.217161304942,0
Rhamnaceae,0,0,0,0,0,3.04376276355627,0,0,0,0
Onchocercidae,17.1277112267144,125.717029045307,1.23902617275762,1.68877282170918,0.481623454690122,0,0,347.9893701931,0,150.429055336015
Bartonellaceae,0.878389852189035,0,0,0.83355088299068,517.99757888623,0,0,0,0,0
Schizophyllaceae,131.772057301051,1391.27732871177,586.005776125494,1217.74370420033,52.3591288671467,1066.37021048047,216.938473641563,0,0.122410047390408,1.39055390115747
Gordoniaceae,208.034632392684,1.7021726700761,116.664969439202,0,54.604937012972,62.1918408154303,4.02268507080896,0,164.436332797431,41.3049049964807
Dietziaceae,59.3876129148908,0,0,0,240.247035052792,0,6.74871020261193,0,163.056378094238,1.1894556464019
Chthoniobacteraceae,1309.53084328469,57.3013998217479,17.0604117588441,114.218859907923,1325.66137074821,243.662844256846,908.007857206752,10.0221059074356,0,0
Acidimicrobiaceae,4035.56722155491,66.0570752691848,11.2885143204271,596.021340893678,1951.89687026932,137.457270095382,521.163093546433,792.257013884283,51.8579584806932,281.446046244238
Aureobasidiaceae,5256.26847871726,68.3810749152123,144.303290793118,7.78647454703056,0.179047460896226,0,418.983411549123,0,0,660.44769388693
Kineosporiaceae,357.648191946805,9.80817044935401,13.9242943725024,37.8411953026215,109.475542028789,0,10.3062903279601,0,47.49762940722,0
Juglandaceae,68.2525032829507,0.71189945813366,0.906492546418618,0,0,0,0,0,0,0
Dermatophilaceae,0,23.6412838738558,0,11.5211250200018,0,0,0,0,0,1.30246593420222
