,xinexpo22_I12,xinexpo51_I6,xinexpo56_I5,xinexpo44_I15,xinexpo28_I15,xinexpo74_I6,xinexpo56_I12,xinexpo70_I6,xinexpo62_I6,xinexpo75_I12
Chryseobacterium,103.450265441214,27.9260738880608,649.093864112857,137.814332828098,3482.00579511492,89.6028192012264,81.1434764422939,14.9320970591594,306.055106326586,0.947294858019932
Ophiognomonia,3763.63129692331,654.475043439372,69.3047679163589,2046.76765364582,123.764979799308,586.932713327428,561.230436014256,0,538.60440648624,5.39965400095037
Pseudonocardia,703.888638337582,189.031307607162,6.2079400953101,598.857711135117,55.5350113957804,112.684432775132,464.010632670078,1099.16822966974,31.4969793551999,0
Capsicum,4.55950372126832,4.71332289905793,0,4.34383562673875,0.720842312749021,3.70414202675732,1.44671558214902,0,0,0.498777050502236
Massilia,153.300703467744,436.58578337058,6.41293295028216,1049.3685566704,52.5793651240782,10.6829007836341,20.4850724581538,0,3967.95101922236,0
Alloprevotella,24.491644410613,57.4974540295778,0.340675367982301,42.5595983282014,970.253902315606,0,233.067858045265,0.815203638999088,0,56.2839790665931
Brochothrix,1.55919462442888,0,0,0,0,3.5950444241861,0,0,66.577258298133,0
Alternaria,278.52539642464,4.9292396587012,16.7472706738716,4.36227631038084,51.5309612771069,30.4212355506391,0,0,0,0
Ktedonobacter,2.49725485390146,7.23525924111137,3005.22299485937,67.7756788922323,66.5042418563796,0,111.472411689773,0,0,0
Weissella,10.383318114535,47.568690450306,322.029808941973,346.126411407848,319.880166401745,1687.56276734881,8.58764562300219,18.3218130237755,10.5990397370603,5.7223087170377
Peniophora,159.697697943813,1432.0022384679,904.002277343391,1700.06310716359,63.7055995173626,593.580208721977,555.023098282364,0.849698325893033,0.900880680150592,0
Kytococcus,68.1600010814146,102.511581668445,3.37801020119671,24.154940213636,7.37626379039882,608.453391350163,297.625066344417,7.38764991814023,0,1.59274627456344
Silybum,98.0986500857024,63.6184902307888,156.329534106361,55.9150185230704,391.525531227688,1002.30136927491,24.6543996695626,17.1890480493655,331.702065500714,147.744479165971
Canis,2.32421327828686,33.063736693483,100.189835525168,84.7121898142324,44.0971902734323,7333.24254249537,264.165148254886,1.17700025297306,10.6517484320196,557.18813545151
Stenotrophomonas,13.4620430347914,77.6354997109875,0.340674467930859,56.1785933366901,430.826185189446,478.613871065135,3.61340013855969,582.18417665578,723.418247006468,483.36314400255
Enterococcus,10.7726885427939,540.762311742759,33.5948905010113,66.4061084154244,570.259794078318,72.5537901305115,135.873305680431,2115.17898679045,1143.60075084858,30.9146397670783
Lactococcus,104.806215933004,144.236741054612,236.990260303197,50.6825648637254,367.984312089383,227.381464429637,322.350192187021,391.946799611985,17.1218136282804,0
Tsukamurella,14.3430701160169,4.25332970849932,837.219790010884,0,0,32.3904918485164,34.5162104376686,34.7299871166218,85.0557379044614,0
