,chaoexpo22_I12,chaoexpo51_I6,chaoexpo56_I5,chaoexpo44_I15,chaoexpo28_I15,chaoexpo74_I6,chaoexpo56_I12,chaoexpo70_I6,chaoexpo62_I6,chaoexpo75_I12
Rhizopogon,3.29248877003027,171.905011194827,225.925672781842,1835.16548051229,10240.4555988118,1165.7639567339,2871.10991859919,1.98175657850714,4.43352635600397,2.02567430742077
Tilletiopsis,1630.71399809348,950.678227408051,318.984495745452,249.408272075544,34.7549810546022,1134.46173815747,0.67385100923738,0,2.12313390095889,0.138697454650244
Trichinella,0,0,0,0,0,0,0,0,0,0
Phytophthora,20.7299916213128,15596.7962503034,0,0,30.7465425447348,0.418604943379276,0,0,0,4657.60803281497
Cronartium,0,5986.54591289491,0,1762.77798278685,0,18.2828438393925,0,0,0,0
Amaranthus,21.6419746001997,0,0,0,0,0,0,0,0,0
Fusarium,804.168811078783,108.93609857456,782.220881636149,658.813070110032,848.635225610432,164.64718751072,2726.01998145823,1799.70875103219,0.720080692025561,0
Atopobium,0,0,0,0,0,0,0,0,0,0
Baeospora,12.885634190051,93.6886602466562,84.0436068881668,145.465585582876,18.7105169127427,86.8862781283863,36.9563950716981,0.610599114475214,0,19.9875854865271
Phlebiopsis,861.701724874613,3875.59481834581,14215.6914287562,10315.5835726913,530.968580368419,4998.75966164241,9004.72281416185,2.72916011904262,2307.32028158833,1888.80619809266
Humulus,3065.0702138275,259.521577125506,2.97161302911698,516.821990709354,394.575664814981,255.709868448416,1988.99626453526,1033.95561554665,79.1163287280436,0.176234102852048
Mobiluncus,0,0,0,0.117139688444584,0,0,0,0,0,0
Neurospora,10.8302048619147,8.71505633690424,0,89.248478194068,0,0,0,1203.26272804481,0,0
Alcaligenes,0,0,0,0,0,0,0,0,0,0
Pseudogymnoascus,219.912455901143,117.723595910347,29.7755208627526,174.783045829462,281.246149729135,423.215336924153,9321.21969342118,742.508655792642,1593.33327627627,3.57816839361526
Paenibacillus,138.311742636302,4.60167913864794,5.70149566476598,25.7970428394804,31.3040375604359,26.0577050762342,196.731313191352,1187.34255713508,194.918729964574,10.2711629653111
Triticum,621.333492395462,19.2322262184764,17.5988011950923,140.482183454202,237.637190558688,46.3707899567586,23.3553442829543,7.12915001090776,49.7502467881768,0
Capsicum,0,0,0,2.17253419212817,0,0,0,0,0.814358754511016,0
Filobasidiella,61.3568284698432,0.325158654217925,0,11.4665681478472,0,0,0.921213893602564,0,0,0
Picea,22496.5456983661,3994.79254060941,1.62868366097468,0,1.92952427077181,6.90959025535112,2.4247215879259,0,0,0
Thermoactinomyces,70.9584926615649,0.602631971703865,48.8690248322359,5.12000573370959,117.657519639087,0,1199.26029818314,0,11.5358800239672,31.8131683283667
Wallemia,10.7975165680229,177.712629429109,0,59.4321443447163,64.8929438838435,14.0767815641263,325.471991376102,25.1377690521362,32.3437955771702,0
Ophiognomonia,3937.38138405492,754.986679300168,3.31349157729263,1764.9658078865,2.26010403637807,2047.71085526506,475.135447057947,0,1065.72614763924,0.697787544127169
Pleurotus,174.450036129203,946.95328079191,45.4341740107678,1130.67015065934,70.4761229643572,30.1437173742057,29.8555176661599,0,0.906480268679958,0
Psychrobacter,8.4444265173991,5.01775418344155,0,133.052151971069,0,11.2262770788884,3.98365974710421,31123.5725966004,94.9675036339687,15188.4985233719
Hymenobacter,910.830562825599,11.9567971586447,0,251.951316489865,8.19247204484872,72.7799003265784,0.362971292394127,239.271650093642,0,26.110029471499
