"from","to","Correlation","p_value","fdr","from_class","from_name","to_class","to_name","from_num","to_num"
"genus_Terrimonas","MIG",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Terrimonas","Cytokine","MIG",3,4
"genus_Terrimonas","VCAM1",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Terrimonas","Cytokine","VCAM1",3,4
"genus_Thermoactinomyces","FASL",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","FASL",10,8
"genus_Thermoactinomyces","IL27",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","IL27",10,8
"genus_Thermoactinomyces","IL4",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","IL4",10,8
"genus_Thermoactinomyces","IL5",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","IL5",10,8
"genus_Thermoactinomyces","IL7",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","IL7",10,8
"genus_Thermoactinomyces","IFNB",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","IFNB",10,8
"genus_Thermoactinomyces","IL13",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","IL13",10,8
"genus_Thermoactinomyces","IL31",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","IL31",10,8
"genus_Thermoactinomyces","IFNG",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","IFNG",10,8
"genus_Thermoactinomyces","GCSF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Thermoactinomyces","Cytokine","GCSF",10,8
"genus_Thermoascus","IL23",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Thermoascus","Cytokine","IL23",1,21
"genus_Thermomucor","EGF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Thermomucor","Cytokine","EGF",2,6
"genus_Thermomucor","CD40L",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Thermomucor","Cytokine","CD40L",2,6
"genus_Thielavia","IL2",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Thielavia","Cytokine","IL2",2,15
"genus_Thielavia","MCP1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Thielavia","Cytokine","MCP1",2,15
"genus_Tolypocladium","IL2",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Tolypocladium","Cytokine","IL2",2,15
"genus_Tolypocladium","MCP1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Tolypocladium","Cytokine","MCP1",2,15
"genus_Venturia","IL23",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Venturia","Cytokine","IL23",1,21
"genus_Wallemia","FASL",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","FASL",12,8
"genus_Wallemia","IL27",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IL27",12,8
"genus_Wallemia","IL4",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IL4",12,8
"genus_Wallemia","IL5",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IL5",12,8
"genus_Wallemia","IL7",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IL7",12,8
"genus_Wallemia","IL8",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IL8",12,7
"genus_Wallemia","IFNB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IFNB",12,8
"genus_Wallemia","IL13",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IL13",12,8
"genus_Wallemia","IL31",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IL31",12,8
"genus_Wallemia","IFNG",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","IFNG",12,8
"genus_Wallemia","GMCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","GMCSF",12,7
"genus_Wallemia","GCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Wallemia","Cytokine","GCSF",12,8
"genus_Xeromyces","IL17F",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","IL17F",9,3
"genus_Xeromyces","IL8",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","IL8",9,7
"genus_Xeromyces","IL12P70",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","IL12P70",9,3
"genus_Xeromyces","GMCSF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","GMCSF",9,7
"genus_Xeromyces","VEGFD",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","VEGFD",9,3
"genus_Xeromyces","TNFB",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","TNFB",9,3
"genus_Xeromyces","IL22",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","IL22",9,3
"genus_Xeromyces","VEGF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","VEGF",9,3
"genus_Xeromyces","LEPTIN",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Xeromyces","Cytokine","LEPTIN",9,3
"dNO2","IL17A",1,0.0166666666666667,1.77815125038364,"Environment","dNO2","Cytokine","IL17A",2,11
"dNO2","MCP3",1,0.0166666666666667,1.77815125038364,"Environment","dNO2","Cytokine","MCP3",2,11
"dSO2","IL1B",0.948683298050514,0.0138468329888591,1.85864954593104,"Environment","dSO2","Cytokine","IL1B",4,6
"dSO2","IL17A",0.948683298050514,0.0138468329888591,1.85864954593104,"Environment","dSO2","Cytokine","IL17A",4,11
"dSO2","GROA",0.948683298050514,0.0138468329888591,1.85864954593104,"Environment","dSO2","Cytokine","GROA",4,4
"dSO2","MCP3",0.948683298050514,0.0138468329888591,1.85864954593104,"Environment","dSO2","Cytokine","MCP3",4,11
"X_Mean_Wind_SpeedKm.h","IL8",-1,0.0166666666666667,1.77815125038364,"Environment","X_Mean_Wind_SpeedKm.h","Cytokine","IL8",2,7
"X_Mean_Wind_SpeedKm.h","GMCSF",-1,0.0166666666666667,1.77815125038364,"Environment","X_Mean_Wind_SpeedKm.h","Cytokine","GMCSF",2,7
