"name","mz","rt"
"nRPLC_201.1133_6.3",201.1133,11
"nRPLC_495.2235_6.2",495.2235,52
"nRPLC_200.1292_6",200.1292,1
"nRPLC_183.1026_5.5",183.1026,31
"nRPLC_243.0331_5.4",243.0331,30
"nRPLC_187.0976_5.4",187.0976,70
"nRPLC_209.0814_5.3",209.0814,90
"nRPLC_183.1025_5.1",183.1025,31
"nRPLC_155.0713_3.6",155.0713,50
"nRPLC_411.127_3.6",411.127,11
"nRPLC_206.0821_3.4",206.0821,60
"nRPLC_188.0352_3.1",188.0352,80
"nRPLC_151.04_2.3",151.04,10
"nRPLC_203.002_1.9",203.002,30
"nRPLC_117.0557_0.6",117.0557,70
